Abbreviation,Full Name
fyear,Data Year - Fiscal
ticker,Ticker Symbol
conm,Company Name
act,Current Assets - Total
ap,Accounts Payable - Trade
at,Assets - Total
bkvlps,Book Value Per Share
cogs,Cost of Goods Sold
dlc,Debt in Current Liabilities - Total
dltt,Long Term Debt - Total
dptb,Deposits - Total - Banks
dvc,Dividends Common/Ordinary
intan,Intangible Assets - Total
invt,Inventories - Total
ist,Investment Securities - Total
lcat,Loans/Claims/Advances - Total
lct,Current Liabilities - Total
niint,Net Interest Income
opiti,Operating Income - Total
rect,Receivables - Total
seq,Stockholders Equity - Parent
